GC_ID,ptype,group_id,snapform,x,y,z,vx,vy,vz,lx,ly,lz,ek,ep
47946717,star,0,86,-2.9176259329542518,4.689834318887733,-7.991276104417921,233.45393,1.2676343,-50.634247,-227.33621300484035,-2013.3266336212455,-1098.5587528469637,28533.08591202658,27240.342
58635628,star,0,87,0.4645722861387185,0.262256818539754,0.3289838713753852,253.80217,394.7167,-257.4844,-197.38247082809596,203.11693930058277,116.8130925785246,143257.51962959766,-135455.94
57227092,star,0,87,-0.5187518452949007,2.0308233427786035,0.6180417142022634,-355.90988,-286.80103,77.75071,335.1529532060082,-179.63382927692848,871.5686566160464,107485.92726029642,-71628.87
58020767,star,0,87,-5.773405636158714,-2.2789730549702654,3.262117542872147,139.49811,14.004277,-316.3188,675.1983930653874,-1371.1774404899156,237.06005606055834,59856.71179892309,3300.1082
49880988,star,0,87,2.091155701680691,13.90265494556661,-8.566727183540934,-31.169424,142.62273,33.516308,1687.7756504091026,196.93213414479055,731.5840751017589,11218.05935507,50763.3
53350204,star,0,88,3.7391017967674998,-2.5321027813406545,2.592196709891141,-161.85815,64.67551,-177.77652,282.4967847825298,245.15632947782404,-168.013179773546,30992.738233092357,-8980.283
48531249,star,0,88,12.429945956529991,-4.433014967245981,-1.1731162712312653,77.3792,-23.336958,3.437888,-42.61717361807391,-133.50756391742985,52.9460427043698,3271.986662998359,38824.625
51358827,star,0,88,-2.042350905459898,-3.5084487014246406,0.8261878087287187,-132.3664,195.06386,105.369736,-530.843693878295,105.84247410758228,-862.7895503669349,33336.77508197911,-28788.742
64443038,star,0,88,9.810889171472809,-3.923229080508463,0.20106530727935024,-10.596588,124.756134,42.47229,-191.71265382140973,-418.8215366813201,1182.3957617366793,8740.138345575077,27702.088
46186812,star,0,90,-0.0777411869057687,-0.7854237290666788,-1.4701912600648939,-133.91898,-411.13065,56.446568,-648.7751556960258,201.27473097918127,-73.22135701515842,95074.46680803271,-79872.84
122232872,dark,0,91,-5.510296888758603,-4.103346177122148,0.12968754307803465,-99.60853,143.8338,-43.76476,160.92850449857042,-254.07480098982373,-1201.2952207743936,16262.685339544085,5810.067
121130415,dark,0,91,3.657881378851016,-4.9793943590048,7.695709417377657,-45.0381,7.2272744,-129.99646,591.6846356204554,128.9114906905753,-197.82595452408978,9489.872909058351,27928.842
119618715,dark,0,93,2.728473858172947,-0.13804411775345216,-6.188422310078749,66.67422,102.11245,120.991585,615.2127849498273,-742.7305895020183,287.8151329467076,14755.683328923304,5174.131
59979388,star,0,94,12.23914633566892,12.27357844101789,-5.497699134917639,138.90533,124.18859,-86.84274,-383.1197079346806,299.22130162203246,-184.90318001460355,21129.576690673828,54956.43
