GC_ID,quality,halo(z=0),logM(tform),zform,halo(zform),snapnum(zform),isMPB,feh,logM(z=0),t_dis,survive_flag,form_time,form_lbt,pubsnap(zform),last_snap,real_flag,accretion_flag,accretion_time,accretion_halo_tid,accretion_halo_cid,accretion_snapshot,pre_accretion_halo_tid,pre_accretion_halo_cid,pre_accretion_snapshot,survived_accretion,ptype,group_id
122234404,0,25236877,4.757,4.78,486718,71,1,-2.201,-1.0,5.747,0,1.278393387,12.520353496,77,267,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120375739,0,25236877,4.025,4.78,486718,71,1,-2.201,-1.0,2.235,0,1.278393387,12.520353496,77,121,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
122412406,0,25236877,4.574,4.78,486718,71,1,-2.201,-1.0,4.591,0,1.278393387,12.520353496,77,222,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120938969,0,25236877,4.412,4.625,537505,74,1,-2.17,-1.0,4.133,0,1.331274118,12.467472766,77,203,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119618200,0,25236877,4.011,4.625,537505,74,1,-2.17,-1.0,2.351,0,1.331274118,12.467472766,77,126,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120754207,0,25236877,4.19,4.625,537505,74,1,-2.17,-1.0,2.766,0,1.331274118,12.467472766,77,145,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120191236,0,25236877,4.211,4.625,537505,74,1,-2.17,-1.0,2.647,0,1.331274118,12.467472766,77,140,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119427420,0,25236877,4.25,4.625,537505,74,1,-2.17,-1.0,2.658,0,1.331274118,12.467472766,77,140,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
123140417,0,25236877,4.058,4.625,537505,74,1,-2.17,-1.0,2.404,0,1.331274118,12.467472766,77,129,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119618197,0,25236877,4.052,4.625,537505,74,1,-2.17,-1.0,2.486,0,1.331274118,12.467472766,77,132,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
