# GC ID
119998556 0
119998556 0
120188656 0
51358838 2
122241197 0
122241197 0
122241197 0
119234262 0
48533885 2
51356216 2
120943055 0
120943055 0
120943055 0
120943055 0
120943055 0
119812963 0
119812963 0
119812963 0
53338185 2
54562227 2
51903216 2
119812963 0
119424859 0
119424859 0
119424859 0
119424859 0
120376251 0
119424859 0
120376251 0
119808307 0
119235285 0
119424859 0
120376251 0
119808307 0
119235285 0
119807798 0
119424859 0
120376251 0
120376251 0
119235285 0
119809341 0
119997531 0
122047108 0
119618712 0
119428969 0
120751161 0
119999590 0
120376251 0
120376251 0
119235285 0
120376251 0
119235285 0
119809341 0
119997531 0
122047108 0
119618712 0
119428969 0
120751161 0
119999590 0
120563169 0
120376251 0
119235285 0
119809341 0
119997531 0
122047108 0
119618712 0
119428969 0
120751161 0
120376251 0
119235285 0
119809341 0
119997531 0
122047108 0
119618712 0
119428969 0
120751161 0
119999590 0
120563169 0
120566740 0
122047114 0
46193407 2
120376251 0
119235285 0
119809341 0
119997531 0
122047108 0
119618712 0
119428969 0
120751161 0
119999590 0
120563169 0
120566740 0
122047114 0
119435294 0
122234404 0
120375739 0
120376251 0
119235285 0
119809341 0
119997531 0
122047108 0
119618712 0
119428969 0
120751161 0
119999590 0
120563169 0
120376251 0
119235285 0
119809341 0
119997531 0
122047108 0
119618712 0
119428969 0
120751161 0
119999590 0
120563169 0
120566740 0
122047114 0
48146884 2
57866427 2
56741181 2
52098514 2
49110691 2
50239418 2
54917963 2
61753509 1
54394707 1
54409584 2
53875099 1
54401532 1
52089473 1
51548967 1
120189683 0
119618196 0
123501331 0
120187631 0
119235801 0
122241196 0
54052486 2
54052513 2
54053585 2
51181207 2
53702755 2
55593804 2
62417144 2
54574267 1
54225062 1
55086857 1
51181236 1
56263946 1
62419547 1
53171058 1
50256889 1
63413283 1
51369458 1
60542957 1
50994158 1
55257178 1
50811712 1
55927464 1
59083746 1
54907473 2
48728806 2
54736221 2
63644757 2
49672361 2
61632168 2
50808042 2
62420541 2
50048907 2
54738253 2
62920802 2
57057454 2
60388901 2
50246187 2
62676192 2
58320221 2
58318778 2
58010524 1
48539191 1
51904739 1
50245683 2
60532159 2
54907980 2
120189683 0
119618196 0
123501331 0
120187631 0
119235801 0
122241196 0
119998062 0
119234263 0
48526144 2
48534942 2
50621408 2
47946717 2
49679612 2
62676198 2
56588762 2
47373602 2
50061388 2
55081064 2
57069679 2
59533020 2
58018680 2
51362030 2
52636009 2
54740854 2
58173678 2
50258991 2
62143399 2
55255042 2
52094796 2
63765522 2
